,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,min_salary,max_salary,avg_salary,Company_name_text,State,Age of company,python_y,sql_y,aws_y,spark_y,tableau_y,excel_y,r_studio_y,power_bi_y,desc_len,seniority
123,Data Analyst,$36K-$66K (Glassdoor est.),"ICF is seeking an experienced Data Analyst to analyze and define data requirements and specifications to ensure information systems reliability and accessibility to prevent and defend against unauthorized access to systems, networks, and data in support of a large scale DoD Navy contract in Mechanicsburg, PA.



Duties & Responsibilities:

Designing, normalizing, developing, installing, and implementing databases

Maintaining, monitoring, performance tuning, backup, and recovery of databases

Installing, configuring, and maintaining database management systems software

Analyzing and planning for anticipated changes in data capacity requirements

Developing and administering data standards, policies, and procedures

Developing and implementing data mining and data warehousing programs

Evaluating and providing recommendations on new database technologies and architectures

Ensuring the rigorous application of information security/ information assurance policies, principles, and practices in the delivery of data management services

Basic Qualifications:

5+ years relevant IT experience supporting a DOD program
Bachelor's degree or equivalent experience
Security clearance required - DOD preferred
Advanced knowledge of network and systems technologies and security protocols
DOD 8570 Compliance, or the ability to quickly obtain and maintain active security certifications
Strong initiative and a personal interest in Information Technology Security
People skills and the ability to communicate effectively with various clients with the ability to explain and elaborate on technical details

Professional Skills:

Excellent written and verbal communication skills
Excellent analytical and problem solving skills

Working at ICF

Working at ICF means applying a passion for meaningful work with intellectual rigor to help solve the leading issues of our day. Smart, compassionate, innovative, committed, ICF employees tackle unprecedented challenges to benefit people, businesses, and governments around the globe. We believe in collaboration, mutual respect, open communication, and opportunity for growth. If you’re seeking to make a difference in the world, visit www.icf.com/careers to find your next career. ICF—together for tomorrow.

ICF is an equal opportunity employer that values diversity at all levels. (EOE – Minorities/Females/ Protected Veterans Status/Disability Status/Sexual Orientation/Gender Identity). For more information, please read our EEO & AA policy .

Reasonable Accommodations are available for disabled veterans and applicants with disabilities in all phases of the application and employment process. To request an accommodation please email icfcareercenter@icf.com and we will be happy to assist. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodations. Read more about non-discrimination: EEO is the law and Pay Transparency Statement .

Pennsylvania Client Office (PA88)",3.4,"ICF
3.4","Harrisburg, PA",-1,5001 to 10000 Employees,1999,Company - Public,Consulting,Business Services,$1 to $2 billion (USD),-1,0,36000,66000,51000.0,ICF,PA,21,0,0,0,0,0,1,0,0,3009,na
124,Project Data Analyst,$46K-$84K (Glassdoor est.),"Overview


A&B Process Systems, a business unit of JBT Corporation, is an industry leader in the design, fabrication, automation and installation of stainless steel process systems used in a variety of industries. At A&B Process Systems, our quality stainless steel process vessels, stainless steel process modules, skidded systems and process automation systems are all developed at one location in Stratford, Wisconsin. Our advanced 175,000 square-foot manufacturing facility is distributed over five physical plants. As a member of the JBT team, you will find that you are joining a world class organization with an entrepreneurial work environment and innovative spirit.

We have an immediate opportunity for a Project Data Analyst

Responsibilities


Position Summary:

The Project Data Analyst is a key member of the project management team and will work closely with project managers and finance to ensure effective and proactive monitoring, tracking and trending of project execution. Critical to execution is a near real-time understanding of the status, financials, concerns and critical dependencies required to successfully meet project budget and schedule. The Project Data Analyst is responsible for ensuring alignment and consistency with data reporting as well as supporting activities to improve processes and tools for standardization in tracking and reporting. This individual will also support communications to senior executive management. Tasks may include statistical analyses, managing key performance indicators, cost monitoring and control services and monitor project schedules and procurement status throughout the execution of projects.

Duties/Responsibilities:
Dashboard management - Develops, tracks and managing dashboards, metrics,
Project Financials – budget, actuals and forecast, analyzing results of project financial status,
Analyzes variances by function and reports out to the project teams including root cause analysis
Project leader for PM database – structuring data from ERP/ROMA/PM Tool & creating management reporting
Maintains project change order database – including aging and reporting
Interface with functional groups for project updates, variances to budget and awareness of issues
Interface with procurement for project material tracking (ordering and delays) and reconciliation
Develop and assist in managing project Bill of Materials and assure that the Purchase Reqs. match the project budget.
Supports recurring financial update meetings reporting with PM’s
Liaison between AR and PM team to resolve invoicing & collection issues
Qualifications


Education & Experience:

BS degree Data Management, Finance, or other related field. Five plus years of experience. Experience interfacing data from various tools such as ERP systems, Finance, Portfolio Project Management Tools, Procurement, Tableau (or visual dashboard) etc. in order to provide Project Managers, Finance and functional leads a complete picture of the project status.

The successful candidate will be comfortable working in various tools and with data, must have the ability to analyze data and report/present information to all levels of management.

It is critical for the successful candidate to possess accurate documentation practices, be detailed orientated, maintain and follow deadlines and demonstrate the ability to effectively multi-task.

This is a service-orientated position. The successful candidate must genuinely enjoy working with people and be willing to advance the goals of the organization by demonstrating competence in relevant subject areas and a willingness to be helpful.

AN EQUAL OPPORTUNITY EMPLOYER

It is the policy of JBT Corporation to provide equal opportunity for qualified persons and not to discriminate against any applicant for employment because of race, color, religion, national origin, sex, sexual orientation, gender identity, age, disability, veteran status, citizenship, or any other characteristic protected by federal, state or local law at the JBT Corporation location to which this application is submitted. In addition, as a Federal Government contractor, JBT Corporation is an affirmative action employer. If you require accommodation during the application process, please contact the local Human Resources department. EOE-Females/Minorities/Protected Veterans/Individuals with Disabilities

If you have a disability or impairment that prevents you from completing the online application, please seek the assistance of your local employment services agency. JBT maintains active relationships with local employment services agencies, and they have pledged their support in assisting any applicant needing help in applying. To find information on agencies throughout the United States, please go to www.careeronestop.org

You may also call Megan Centers at 844-286-4524 if your disability or impairment prevents you from applying online. NOTE: Do not use this number unless you need assistance because of a disability or impairment. The personnel attending this phone line will not be able to give you a status update regarding your application and will not be the individuals making a decision regarding your employment.",3.5,"John Bean Technologies Corporation
3.5","Stratford, WI",-1,5001 to 10000 Employees,1884,Company - Public,Industrial Manufacturing,Manufacturing,$1 to $2 billion (USD),-1,0,46000,84000,65000.0,John Bean Technologies Corporation,WI,136,0,0,0,0,1,0,0,0,5199,na
126,Data Analyst,$29K-$38K (Glassdoor est.),"Smith is an entrepreneurial company with global reach, a casual environment, and limitless paths for success. For over 35 years, we’ve offered a place for driven, creative people to set and achieve ambitious goals in sales, procurement, and our supporting departments.

Opportunities await around the world. If you’re curious to see how you can help Smith grow while pursuing the next step in your own growth and development, apply today.

This Data Analyst will be responsible for data mining and building mining data tables, along with researching external methods, processes and software to provide business solutions tailored to new trends, demands and concepts. This person will need to have experience with the ETL process and strong experience with working with data coming from various sources, channels and in different formats. The candidate will also need to have the ability to structure the data for a software architect, correspond directly with clients, project or department managers, and/or business leaders to identify analytical requirements. This person will also be working with Project Managers, Architects, DBA, and Data Scientists. He or she must be comfortable utilizing both quantitative data, and qualitative knowledge. Other typical functions include but are not limited to:
Perform routine trend analyses and evaluations.
Analyze audit findings, identify trends and assist in the development of programs.
Brainstorm and form effective solutions to business problems.
Develop, maintain and assist in the implementation of programs and business solutions.
Monitor correction action follow-up from audits in business units.
Provide status reports to management, identify problem areas and verify compliance.
Clean, update and aggregate the data into more operable formatting.
Required Skills:
Bachelors Degree in MIS and/or CS.
Experience with tools such as SQL, Oracle & MongoDB.
Any ETL too experience (ex: Informatica, Oracle Data Integrator or Warehouse Builder)
Ability to work with relational and non-relational databases.
Ability to handle multiple tasks simultaneously and switch between tasks quickly.
Ability to facilitate discussion, drive consensus and build partnerships.
Detail oriented and able to work in group projects and take direction.
Excellent verbal and written communication skill is a must.
Experience as a Business Analysis is preferable.
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!",4.2,"N.F. Smith & Associates
4.2","Houston, TX",-1,201 to 500 Employees,1984,Company - Private,Wholesale,Business Services,$1 to $2 billion (USD),-1,0,29000,38000,33500.0,N.F. Smith & Associates,TX,36,0,1,0,0,0,1,0,0,2501,na
127,IBOP Reporting & Data Analyst,$53K-$95K (Glassdoor est.),"Job Description

WMATA is looking for a Reporting & Data Analyst for our IBOP procurement team. This position is very critical in inventory sourcing day to day functions as it entails validating inventory data and preparing packages for sourcing. The successful candidate will provide very critical data driven decision making support to the Commodity Managers in managing inventory contracts and the inventory sourcing process. In addition to performing extensive inventory data analysis, the successful candidate will create reports for the group on productivity, workload and outstanding issues. The candidate will also provide data analysis support for the procurement team for performance Service Level Agreements (SLAs) for vendors, spend analysis, contract goals and item category enterprise-wide management strategies.

Minimum Qualifications

Education

A Bachelor's degree in Computer Sciences or similar fields of study

Experience

Five (5) years of experience of data mining and analysis experience. Must have experience using Microsoft Access, Visual Studio, SQL and other database reporting tools. Must also include experience performing full analysis of the results reporting summaries, identifying trends and patterns and producing results for actionable management decisions.

Medical Group

Satisfactorily complete the medical examination for this position, if required. The incumbent must be able to perform the essential functions of this position either with or without reasonable accommodations.

Job Summary

The IBOP Reporting & Data Analyst functions as an expert for IBOP analytics and proactively analyzes relationships between data. Provides strategic analysis of data from multiple datasets to help drive informed decisions made by IBOP and WMATA management. Acts as a consultant to the department and organization in understanding IBOP data landscape and provides information regarding the location of and how to compile and organize it into actionable data to inform business outcomes.

ESSENTIAL FUNCTIONS

Analyzes grievances throughout the various steps of the grievance process providing trends and predictive modeling. Creates efficiencies in work and processes through data mining.
Analyzes metrics throughout IBOP identifying trends and creates predictive modeling that enhances IBOP.Collects, stores, compiles and analyzes data provided by IBOP teams. This data is documentation of IBOP staff interaction with WMATA customers. Monitors and measures activities to understand and meet productivity requirements that align with the GM's customer service goals.
Using data from various systems within IBOP and other departments such as Microsoft Access, Visual Studio and SQL, provides analysis and summaries reporting the effectiveness of IBOP Department for the Executive Vice President of Internal Business Operations (IBOP) staff meetings. Also, provides other performance effectiveness measures and requirements that are based on quantifiable historical data. Ensures that these are aligned with the GM's customer service goals.

The essential duties listed are not intended to limit specific duties and responsibilities of any particular position. Nor is it intended to limit in any way the right of managers and supervisors to assign, direct and control the work of employees under their supervision.

Evaluation Criteria

Consideration will be given to applicants whose resumes demonstrate the required education and experience. Applicants should include all relevant education and work experience.

Evaluation criteria may include one or more of the following:

Skills and/or behavioral assessment
Personal interview
Verification of education and experience (including certifications and licenses)
Criminal Background Check (a criminal conviction is not an automatic bar to employment)
Medical examination including a drug and alcohol screening (for safety sensitive positions)
Review of a current motor vehicle report

Closing

WMATA is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other status protected by applicable federal law.

This posting is an announcement of a vacant position under recruitment. It is not intended to replace the official job description. Job descriptions are available upon confirmation of an interview.",3.6,"Washington Metropolitan Area Transit Authority
3.6","Washington, DC",-1,10000+ Employees,1967,Government,Passenger Rail,Travel & Tourism,Less than $1 million (USD),-1,0,53000,95000,74000.0,Washington Metropolitan Area Transit Authority,DC,53,0,1,0,0,0,0,0,0,4479,na
128,Data Analyst,$40K-$71K (Glassdoor est.),"Data Analyst, St. Louis, MO

*No C2C or sponsorship*

Strongly prefer local candidates or those willing to relocate.

Required Qualifications:
Masters Degree in Statistics, Biostatistics, Data Science, Applied Mathematics, Physics, Engineering or related highly quantitative discipline
Strong Python coding skills for data management, visualization, and basic modeling (strong experience and knowledge with standard data science packages such as numpy, pandas, matplotlib, seaborn, sklearn)
Proven experience in data querying and data summarization
Experience with Natural Language Processing
Experience building data pipelines
Fast learner and follows project instructions
Strong communication skills for effective interactions with business stakeholders as well as peer groups and team members
What You Will Do:
Query data from multiple data sources
Data wrangling and data manipulation
Extract data from text formats
Evaluate data quality and discover data limitations
Build data pipelines
Exploratory data analysis
Develop features for model development
Conduct statistical analysis of agronomic research trials
Perform code reviews
General data analysis using statistical modeling and machine learning modeling
Preferred Qualifications:
Applied experience with agricultural science and/or agricultural datasets
Statistical and/or machine learning experience
Experience in SQL, PySpark, or SparklyR/Spark",4.5,"Envision LLC
4.5","Saint Louis, MO",-1,201 to 500 Employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,0,40000,71000,55500.0,Envision LLC,MO,26,1,1,0,1,0,0,0,0,1408,na
130,Supply Chain Data Analyst,$42K-$73K (Glassdoor est.),"Improving the health of our community in all we do

Northeast Georgia Health System (NGHS) is a non-profit community health system on a mission of improving the health of our community in all we do. Our team cares for more than 1 million people across the region through four hospitals and a variety of outpatient locations. Northeast Georgia Medical Center (NGMC) has campuses in Gainesville, Braselton, Winder and Dahlonega – with a total of more than 700 beds and more than 1,100 medical staff members representing more than 50 specialties. NGHS also encompasses Northeast Georgia Physicians Group, a multi-specialty group with more than 65 locations, and The Heart Center of Northeast Georgia Medical Center, a cardiology practice with more than 15 locations.

NGHS

The Supply Chain Data Analyst supports projects and processes, analyzes data, prepares meaningful analytical reports, through the use of Lawson MMIS, Epic, BlueBin, Qlik and Microsoft Office products. Additionally, this position work closely with the MMIS, Sourcing, Value Analysis and Logistics teams to identify process improvement and cost savings opportunities through financial reporting, benchmarking, and other Supply Chain related reporting tools.

Bachelor’s Degree with a degree in Computer Science or Information Technology with 3 years related experience, or 5 years prior experience in Data Analytics in a healthcare environment.

3 years prior experience in Data Analytics; preferably in Healthcare environment

Since first opening its doors in Gainesville in 1951, Northeast Georgia Medical Center has added hospital campuses in Braselton, Barrow and Dahlonega – and become Georgia’s most awarded hospital. Some recognitions include being named to these lists:

America’s 50 Best Hospitals – Healthgrades

100 Top Hospitals – Truven Health Analytics

100 Hospitals with Great Heart Programs – Beckers Hospital Review

America’s Top Quality Providers – Carechex

Atlanta’s Top 150 Workplaces – Atlanta Journal-Constitution

Healthcare’s Most Wired Hospitals and Health Systems – Hospitals & Health Networks magazine

NGMC has also been recognized in recent years as Georgia’s #1 Hospital for overall hospital care, overall surgical care, heart care, orthopedic surgery, women’s care and more.",3.5,"Northeast Georgia Health System
3.5","Gainesville, GA",-1,5001 to 10000 Employees,1951,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,0,42000,73000,57500.0,Northeast Georgia Health System,GA,69,0,0,1,0,0,0,0,0,2277,na
131,SAP Data Analyst,$70K-$121K (Glassdoor est.),"Position Description:
The SAP Data Analyst is responsible for analyzing data and the ERP architecture to support business intelligence. In collaboration with subject matter experts and data stewards, defines and implements data strategy, policies and controls to ensure enterprise data is accurate, complete, secure and reliable. The SAP Data Analyst will oversee data structures, design the ERP reporting strategy and provide system training. The SAP Data Analyst will ensure master data integrity in key systems as well as maintaining the process to support the data quality. The analyst must be proficient with SAP reporting tools and willing to keep up with industry trends for continuous improvement.

Position Requirements:
ESSENTIAL DUTIES AND RESPONSIBILITIES:
• Define reporting requirements and analyze data for business intelligence and systems integration.
• Establish enterprise master data requirements and troubleshoot issues with cross-functional teams.
• Consults with users to develop an understanding of business needs and support those needs using application and tools.
• Manage production support activities for all user requests using Exelixis’ ticketing system.
• Utilizes Exelixis IT department policies, methodologies, standards and guidelines with regard to systems development and/or software package selection.
• Manages business and technical subject matter experts to implement and maintain systems.
• Conducts research and analysis into the nature, effect and results of system problems.
• Maintain current and create new system documentation as needed; coordinates with Finance Systems Analyst to perform testing of system modifications.
• Develops or coordinates system training including educational tools and materials.
• Maintains regulated systems and audit IT general controls for compliance (SOX, 21 CFR Part 11).
• Generates and maintains computer system’s validation documentation, if required.
• Project management of system upgrades and implementations.

SUPERVISORY RESPONSIBILITIES:
• None

EDUCATION/EXPERIENCE/SKILLS:
Education:
• BS/BA degree in Computer Science and/or business-related discipline and seven years of related experience;
• MA/MS degree in Computer Science and/or business-related discipline and five years of related experience;
• Equivalent combination of education ad SAP reporting experience in an active support role.

Experience:
• Financial background is strongly encouraged as this position will need to have a good understanding of financial concepts and reporting requirements.
• Seven years working experience with SAP Analytics Cloud and SAP BW. Experience in report design and analyzing data structures is required.
• S/4 HANA, SAP Analytics for Office and other add-in reporting experience, such as Tableau, is strongly desired.
• Experience authoring and/or executing functional specification documents.
• Experience participating in audits for GxP or SOX compliance preferred
• Experience with GxP Validated Computer Systems is preferred.
• Experience in drug discovery, pharmaceutical or related industry is preferred.

Knowledge/Skills/Abilities:
• Applies solid analytical and business communication skills.
• Strong financial reporting background and knowledge of other related disciplines.
• Identifies and implements methods and procedures to achieve results.
• Ability to lead the work of other by providing guidance to teams based on organizational goals and company policy, with responsibility for results, including costs and methods.
• Complete understanding and wide application of technical principles (SDLC), theories, concepts and techniques.
• Performs a variety of complicated tasks with a wide degree of creativity and latitude.

JOB COMPLEXITY:
• Works on complex problems where analysis of situations or data requires an in-depth evaluation of various factors.
• Exercises judgment within broadly defined practices and policies in selecting methods, techniques and evaluation of criteria for obtaining results.
• Uses professional concepts and company policies and procedures to solve a wide range of difficult problems in imaginative and practical ways.
• Networks with key contacts outside own area of expertise.

DISCLAIMER
The preceding job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to the job.

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.",3.2,"Exelixis
3.2","Alameda, CA",-1,501 to 1000 Employees,1994,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,0,70000,121000,95500.0,Exelixis,CA,26,0,0,0,0,1,0,0,0,4853,na
132,"Senior Data Analyst, Customer Operations",$85K-$146K (Glassdoor est.),"We’re looking for a Senior Data Analyst who has a love of mentorship, data visualization, and generating actionable insights from raw data. You will join the Insights & Analytics team, a team tasked with developing insights and reporting to support our customers and advisors’ needs. This team sits within the Customer Operations team, but is also connected to the Product organization.

The majority of your work will be with Customer Operations stakeholders to set Indicators and evaluate the effectiveness of current strategies and workflows. You’ll be an organizational influencer—generating insights with a good degree of autonomy. You will be involved in many aspects of data operations, from data auditing to building dashboards and analytical insights. In addition to reporting and dashboarding, you will analyze the customer journey on our Help Center page and analyze text-based interactions with our advisors and chatbot to improve care quality. You will be a mentor to all other members of the analytics team, which demands that you excel in a culture of teaching and learning.

You will report to the Manager of the Insights & Analytics team, Customer Operations in Squarespace’s New York offices.

RESPONSIBILITIES
Develop KPIs, reports, and dashboards using BI/data visualization tools
Perform and communicate impactful analyses, using SQL and R/Python to improve the customer experience and influence Customer Operations and Product roadmap
Raise the skill level of the analytics team through reviewing code, organizing training sessions, acting as a mentor, and introducing methods and tools
Help design experiments and pilots, setting clear hypotheses and success metrics, and using the right statistical methods for analyses
Work with Customer Operations and Product partners.
Partner with the Data Engineering team in pursuit of better data modeling and data quality
QUALIFICATIONS
4 or more years of experience as a data analyst, data scientist, or in a relevant field in which you have worked with large datasets to transform data to meaningful insights
Mastery of SQL, and experience with R/Python
Experience with dashboarding/BI tools like Chartio, Looker, Tableau
Experience with data cleaning, analysis, and presentation to non-technical partners
Bachelor’s degree in a quantitative or logic-driven discipline
Deep love of mentorship and generating insights
Preferred: Advanced degree (Master’s or PhD) in quantitative field
Preferred: Experience with topic modeling, text analytics/natural language processing
About Squarespace

Squarespace makes beautiful products to help people with creative ideas succeed. By blending elegant design and sophisticated engineering, we empower millions of people — from individuals and local artists to entrepreneurs shaping the world’s most iconic businesses — to share their stories with the world. Squarespace’s team of more than 1,000 is headquartered in downtown New York City, with offices in Dublin and Portland. For more information, visit www.squarespace.com/about.

Benefits & Perks
Health insurance with 100% premium covered for you and your dependent children
Flexible vacation & paid time off
Up to 20 weeks of paid family leave
Equity plan for all employees
Retirement benefits with employer match
Fertility and adoption benefits
Free lunch and snacks at all offices
Education reimbursement
Dog-friendly workplace in New York office
Commuter benefit in the form of reduced tax (Ireland) and pretax (US)
Today, more than a million people around the globe use Squarespace to share different perspectives and experiences with the world. Not only do we embrace and celebrate the diversity of our customer base, but we also strive for the same in our employees. At Squarespace, we are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, national origin, gender, sex, gender identity or expression, sexual orientation, age, citizenship, marital or parental status, disability, veteran status, or other class protected by applicable law. We are proud to be an equal opportunity workplace.",3.4,"Squarespace
3.4","New York, NY",-1,1001 to 5000 Employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,85000,146000,115500.0,Squarespace,NY,17,1,1,0,0,1,1,0,0,4105,senior
133,Jr. Business Data Analyst (position added 9/10/2020),$37K-$76K (Glassdoor est.),"Fall 2020 Update from WebFX: We're still actively hiring and conducting interviews via video conferencing

Hi there! We're WebFX, a full-service digital marketing agency based in the US. We've been named the Best Place To Work in Pennsylvania 5 times in a row and we'd love to meet you. We're looking for people to join our mission to provide world-class digital marketing solutions to mid-size businesses around the world. We get super excited about driving business growth for our clients and are looking for people who take pride in their marketing work and enjoy having a little fun at the same time.

We have a multi-step interview process, where we focus on giving both our candidates, and ourselves, opportunities to get to know each other a bit better. While our process may be more thorough and perhaps longer than other interview processes that you've been a part of, our goal is to work together with our candidates to find a mutually beneficial fit, where a candidate is a great addition to the FXFamily, and WebFX is the right fit for their career goals. Interested in joining the FXFamily? More info below!

What We're Looking For

Desired Education
Bachelor's Degree in Marketing, Advertising, Business, Business Information System, Management of Information Systems, or Statistics (GPA above a 3.4)

General Knowledge
Solid understanding of interpreting business analytics
Strong data analysis skills
Solid Understanding of the Internet

Experience
Should have customer service experience in any industry
Part time/summer job/internship experience is a must
Basic HTML or data manipulation software experience (a plus)
Experience with Google Analytics (a plus)

Qualities
Stays up to date on new changes to the web and actively reads several blogs
Professional, dependable, solid work ethic
Solid analytical skills and ability to make decisions based on data
Passion for research and deep-diving into business analytics
Excellent time/project management skills
Approaches problem solving proactively and in a professional manner
Creative problem solving abilities
Detail-Oriented
Self-motivated
Ability to meet deadlines

What You'll Do

Responsibilities
Gather and analyze campaign data
Consult with clients about their business goals and propose solutions and strategies that meet their needs
Analyze competitors’ websites and online marketing initiatives
Perform industry analysis and forecasting of trends
Interpret web analytics, demographic data, market research, and buyer behaviors
Optimizing client websites for search engines (on-page SEO)
Create and manage all aspects of SEO, PPC, and paid search ad campaigns for clients
Manage email marketing, website analysis and online advertising programs
Prepare monthly digital marketing campaign reports
Correct technical issues on the backend of website
Perform A/B, website usability, and website conversion rate testing
Responsible for driving client success on the web

Percentage Breakdown
5% analyzing clients’ competitors
10% writing ad copy, emails, etc.
10% working in the backend of websites/fixing technical issues
10% creating revenue, ROI and traffic reports for client campaigns
10% managing client projects and ad campaigns
15% performing industry, demographic and market research, and trend forecasting
20% client strategy and analytics
20% client interaction- phone calls, emails, in-person meetings
Note: The Jr. Business Data Analyst is a client-facing position

Training
Our “Bootcamp” web marketing training program will be provided for new WebFX “family members”.
On-site, state-of-the-art training amenities to facilitate departmental trainings, trend watch reports, and monthly Lunch-and-Learns

What You'll Get

Opportunities for Growth
WebFX grew 250%+ over the past 3 years, and merit-based promotional opportunities are abundant for new family members who meet or exceed position performance metrics.

Potential Promotional Path for Jr. Business Data Analyst:
Digital Marketing Research Consultant
Director of Digital Marketing
Sr. Digital Marketing Research Consultant

Compensation
$36,500 to $39,500 (potentially higher based on work experience)
Potential additional bonus may be offered for GPA's of 3.8+
Potential additional bonus may be offered for attending an elite college or university & graduate with high honors

Candidates interested in the Jr. Business Data Analyst position may also have interest in:
Digital marketing, online marketing, paid advertising, search marketing, inbound marketing, web marketing, content marketing, PPC, SEO, SEM, blogging, writing, editing, research, communications, entry level positions, etc.
WebFX Perks & Benefits
Flexible Schedule
Pet Friendly Office
Profit Sharing
Little Amps Coffee & Tea Bar
Yoga
On-site Fitness Center
150% Company Match Of Personal Charity Donations
Supplemental Insurance
IRA With Company Matching
Generous Paid Time Off
Employee Wellness Program
FXLearns Library
Activity Groups
Humanitarian Trips
Health/Vision/Dental Coverage
New Parent Support
Casual Dress Code
Home Buyer Program
Personal Desk Fund
Green Commute Benefits
Pawternity Leave",4.6,"webfx.com
4.6","Harrisburg, PA",-1,201 to 500 Employees,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),-1,0,37000,76000,56500.0,webfx.com,PA,23,0,0,0,0,0,1,0,0,5113,junior
136,Data Analyst II,$44K-$79K (Glassdoor est.),"You’re not likely to find another company like Vermeer. Our people are from all walks of life in locations around the world, rolling up our sleeves and getting tough work done every day. Together. We’re a family-owned and operated company with an unmatched culture, one that is built on the belief that every Vermeer team member has real, personal impact – on our people, our customers and our world. Whoever you are and where you are in your career, Vermeer helps you be Equipped to Do More®.

Job Summary

Work Shift

1 - First ShiftThe Data Analyst II is responsible for performing complex data analysis to make sense of, and draw conclusions from, information buried in raw data. This position works closely with project team members and business units to identify data-related issues and solve them. This role must be an expert at querying information in relational databases like Oracle, Microsoft SQL, and PostgreSQL and able to document findings in tools such as Word, Excel, or Power BI.

Essential Duties and Responsibilities include the following. Other duties may be assigned.

1. Exhibit the Vermeer characteristics of caring culture, demonstrating agility, customer focused and stewardship while modeling the associated behaviors.

2. Analyze data sets using various statistical methods to identify patterns within data, to gain insight into process performance, and identify opportunities to enhance decision making. Leverage current information sources including databases, process models, business requirements and other artifacts to research and resolve issues. Interpret, draw conclusions, make recommendations, and present findings to customers to support business questions and promote data literacy. Assist the business to take advantage of opportunities to improve data usage, analytical processes, and business process improvements.

3. Contribute to a data strategy and approach including inventory of data sources, metadata, quality, issues, reconciliations and remediations. Participate in planning and execution activities to identify, extract, reconcile, transform, load, and validate and/or converted data. Create mapping specifications, review data models, update business data definitions, and maintain process and project documentation as needed.

4. Define data quality operations and support the development and use of automated tools to deliver comprehensive data cleansing, matching, and quality monitoring capabilities for master and transactional data. Ensure high quality data is collected and discover the source data that causes issues for downstream applications, processes, and reports. Troubleshoot and resolve discrepancies to maintain data integrity and quality of information assets.

5. Prepare data documentation for specific projects or domains. Participate in unit testing and/or user acceptance testing for deliverables. Provide post implementation support for data reconciliation and quality issues.

6. Participate in product evaluations, requirements gathering, and business decisions to ensure new solutions are aligned with the company’s strategic goals and are scalable into the data warehouse platform.

Education and/or Experience

- Bachelor’s Degree in Information Technology, Computer Science, Business or related field.

- Minimum of 4 years previous experience with data and application standards, development, and integration; and/or equivalent combination of education and experience required.

Other Skills and Abilities

- Ability to shorten development cycles by implementing new and reusable technologies at Vermeer. Ability to examine business and development processes and apply continuous improvement methods to identify opportunities.

- Ability to define, create and complete a technical task without guidance.

- Excellent analytical skills.

- Ability to maintain positive interpersonal relationships which encourage openness with customers and peers; ability to develop interpersonal relationships with co-workers, staff, clients and the community to meet or exceed expectations.

- Demonstration of excellent written and verbal communication skills. This position requires presenting design recommendations to both technical and non-technical audiences. Clarity of ideas and overall understanding is crucial.

- Ability to create accurate, professional and error-free documents.

- Ability to manage multiple projects while applying project management and organizational skills for task breakdown, planning, and prioritization.

Travel

Up to 5% domestic and/or international travel by car or plane may be required.

All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, age, disability or veteran status. Applicants requiring a reasonable accommodation due to a disability at any stage of the employment application process should contact Team Member Solutions in human resources at (641) 621-8767 or at hr@vermeer.com.",4.0,"Vermeer
4.0","Pella, IA",-1,1001 to 5000 Employees,1948,Company - Private,Industrial Manufacturing,Manufacturing,$1 to $2 billion (USD),-1,0,44000,79000,61500.0,Vermeer,IA,72,0,1,0,0,0,1,0,1,5017,na
